postulationDate,studyCenter,careerField,careerStatus,careerDegree,studiesNumber
2021-01-17,Instituto Cibertec,Analisis De Sistemas,Graduado,Otro,5
2021-01-17,Universidad Del Pacifico,Adm. De Empresas,Graduado,Master,3
2021-01-14,Massachusetts Inst. Of Technology,Ing. Telecomunicaciones,Graduado,Otro,8
2021-01-13,Ctic - Uni,Tecnologias De La Informacion,Graduado,Otro,4
2021-01-12,Universidad Peruana De Ciencias Aplicadas,Tecnologias De La Informacion,En Curso,Posgrado,2
2021-01-12,Dmc,Computacion / Informatica,En Curso,Posgrado,5
2021-01-12,Universidad De Catalunya,Tecnologias De La Informacion,En Curso,Otro,5
2021-01-12,Universidad Nacional Federico Villarreal,Ing. En Sistemas,Graduado,Otro,1
2021-01-12,Universidad Privada Antenor Orrego - Trujillo,Ing. En Sistemas,En Curso,Posgrado,5
2021-07-13,Lp &Amp; Asociados,Computacion / Informatica,Graduado,Otro,8
2021-01-12,Cibertec,Ing. En Sistemas,En Curso,Posgrado,5
2021-01-12,Certiprof,Ing. Informatica,Graduado,Otro,9
2021-01-12,Universidad Nacional Del Callao,Ing. En Sistemas,En Curso,Master,2
2021-01-11,Bsg Institute,Ing. Informatica,En Curso,Otro,2
2021-01-05,Universidad Privada Telesup,Ing. En Sistemas,Graduado,Universitario,2
2021-01-02,Universidad Esan,Adm. De Empresas,En Curso,Master,3
2020-12-24,Bs Grupo,Ing. Informatica,En Curso,Posgrado,7
2020-12-15,Ctic - Uni,Tecnologias De La Informacion,Graduado,Otro,4
2020-12-14,Universidad Tecnologica Del Peru,Ing. Telecomunicaciones,En Curso,Otro,8
2021-07-12,Scrum Study,Procesos / Calidad Total,Graduado,Otro,3
2020-12-02,Universidad San Ignacio Del Loyola,Ing. Informatica,Graduado,Universitario,1
2020-11-28,Tecsup,Ing. Informatica,En Curso,Posgrado,8
2020-11-28,Inictel - Uni,Tecnologias De La Informacion,Graduado,Posgrado,3
2020-11-26,Universidad Tecnologica Del Peru,Ing. Telecomunicaciones,Graduado,Universitario,2
2020-11-25,Instituto Cibertec,Tecnologias De La Informacion,Graduado,Terciario/Tecnico,4
2020-11-24,Instituto Universitario De Gerencia Y Tecnologia,Ing. Informatica,Graduado,Universitario,4
2020-11-23,Universidad Esan,Ing. En Sistemas,En Curso,Master,3
2020-11-23,Centrum - Universidad Catolica,Ing. En Sistemas,En Curso,Posgrado,11
2021-07-09,Ctic - Uni,Tecnologias De La Informacion,Graduado,Otro,4
2020-11-19,Scrumstudy,Procesos / Calidad Total,Graduado,Otro,7
2020-11-19,Instituto Cibertec,Tecnologias De La Informacion,Graduado,Otro,5
2020-11-19,Instituto De Formacion Bancaria Ifb,Finanzas,Graduado,Otro,4
2020-11-18,Universidad Peruana De Ciencias Aplicadas,Ing. En Sistemas,Graduado,Universitario,1
2020-11-17,Universidad San Ignacio De Loyola,Ing. Informatica,En Curso,Universitario,2
2020-11-17,Universidad Nacional De Ingenieria,Ing. En Sistemas,En Curso,Universitario,1
2020-11-16,Universidad Catolica San Pablo,Ing. Informatica,En Curso,Posgrado,2
2020-11-16,Universidad Nacional Exp De Guayana,Telecomunicaciones,Graduado,Universitario,2
2020-11-16,Une Enrique Guzman Y Valle,Ciencias De La Educacion,Graduado,Master,3
2020-11-13,Universidad Peruana De Ciencias Aplicadas,Telecomunicaciones,Graduado,Universitario,6
2021-07-08,Centro De Extension Fiis Unmsm,Computacion / Informatica,Graduado,Otro,5
2020-11-12,Instituto Europeo De Posgrado,Tecnologias De La Informacion,Graduado,Posgrado,9
2020-11-12,Sistemas Uni,Tecnico,Graduado,Otro,3
2020-11-12,Pontificia Universidad Catolica Del Peru,Comunicacion Social,Graduado,Master,2
2020-11-11,Dmc,Computacion / Informatica,En Curso,Posgrado,5
2020-11-11,Instituto Cibertec,Fisioterapia,En Curso,Otro,7
2020-11-11,Universidad Peruana De Ciencias Aplicadas,Ing. En Sistemas,En Curso,Universitario,2
2020-11-11,Cibertec,Ing. En Sistemas,En Curso,Posgrado,5
2020-11-11,Universidad Tecnologica Del Peru,Ing. En Sistemas,Graduado,Universitario,1
2020-11-11,Dmc Peru,Tecnologias De La Informacion,Graduado,Posgrado,3
2020-11-11,Udemy,Tecnologias De La Informacion,Graduado,Otro,9
2021-07-08,Universidad Nacional Agraria La Molina,Tecnologias De La Informacion,Graduado,Otro,7
2020-11-11,Universidad Privada Del Norte,Ing. En Sistemas,Graduado,Universitario,1
2020-11-10,Unjfsc,Ing. En Sistemas,En Curso,Posgrado,2
2020-11-10,Universidad Esan,Adm. De Empresas,Graduado,Posgrado,5
2020-11-10,Social Data Consulting,Fisioterapia,En Curso,Otro,3
2020-11-10,Grupo Carso,Analisis De Sistemas,Graduado,Otro,10
2021-07-08,Universidad Del Pacifico,Marketing / Comercializacion,Graduado,Otro,7
2021-08-15,Centro De Formacion Cice,Diseno De Imagen Y Sonido,Graduado,Master,2
2020-11-04,Social Data Consulting,Tecnologias De La Informacion,En Curso,Otro,6
2020-09-06,Universidad Ricardo Palma,Computacion / Informatica,Graduado,Posgrado,10
2020-09-02,Universidad Nacional Agraria La Molina,Estadistica,Graduado,Universitario,1
2020-08-27,Universidad Rey Juan Carlos,Estadistica,Graduado,Master,7
2020-08-26,Universidad Catolica San Pablo,Computacion / Informatica,En Curso,Master,2
2020-08-21,Pontificia Universidad Catolica Del Peru,Analisis De Sistemas,En Curso,Posgrado,3
2020-08-14,Universidad Nacional Mayor De San Marcos,Tecnologias De La Informacion,Graduado,Posgrado,2
2020-08-13,Universidad Privada De Piura,Ing. Industrial,En Curso,Universitario,1
2020-08-12,Universidad Tecnologica Del Peru,Tecnologias De La Informacion,En Curso,Master,2
2020-08-11,Universidad Del Pacifico,Adm. De Empresas,En Curso,Posgrado,11
2020-08-10,Universidad Nacional Pedro Ruiz Gallo,Telecomunicaciones,Graduado,Universitario,1
2020-10-30,Pontificia Universidad Catolica Del Peru,Estadistica,En Curso,Posgrado,2
2020-08-10,"Cipsa, Centro De Estudios Informatica, Barcelona",Ing. Informatica,Graduado,Master,3
2020-08-10,Certiprof,Tecnologias De La Informacion,Graduado,Otro,7
2020-08-09,Columbia University,Tecnologias De La Informacion,En Curso,Master,14
2020-08-06,Cibertec,Analisis De Sistemas,Graduado,Otro,2
2020-08-06,Universidad Peruana De Ciencias Aplicadas,Tecnologias De La Informacion,En Curso,Posgrado,2
2020-08-06,Pmg Academy,Tecnologias De La Informacion,Graduado,Otro,32
2020-08-06,Ctic Uni,Ing. Informatica,En Curso,Otro,9
2020-08-05,Ctic Uni,Ing. Informatica,En Curso,Otro,9
2020-07-22,Universidad Esan,Adm. De Empresas,Graduado,Posgrado,6
2020-07-13,Universidad San Ignacio De Loyola,Tecnologias De La Informacion,Graduado,Posgrado,3
2020-10-27,Universidad Nacional De Ingenieria,Programacion,Graduado,Otro,5
2020-07-01,Big Data Academy,Tecnologias De La Informacion,En Curso,Otro,17
2020-06-23,Universidad Nacional De Ingenieria,Tecnologias De La Informacion,Graduado,Universitario,6
2020-06-22,Telesup,Ing. En Sistemas,Graduado,Universitario,1
2020-06-18,Ac Enginering/Electronets C.A,Ing. Telecomunicaciones,Graduado,Otro,3
2020-06-16,Universidad Nacional Agraria La Molina,Analisis De Sistemas,Graduado,Otro,4
2020-06-15,Universidad Esan,Ing. - Otros,En Curso,Posgrado,4
2020-06-15,Universidad Nacional Federico Villarreal,Ing. En Sistemas,Graduado,Universitario,1
2020-06-15,Sistemas Uni,Ing. En Sistemas,Graduado,Otro,2
2020-06-14,Celeritech,Computacion / Informatica,Graduado,Posgrado,10
2020-06-13,Universidad Del Pacifico,Finanzas,Graduado,Posgrado,2
2020-10-06,Pontificia Universidad Catolica Del Peru,Ing. En Sistemas,En Curso,Master,2
2020-06-12,Centrum,Ing. En Sistemas,Graduado,Posgrado,9
2020-06-12,Universidad Nacional Federico Villarreal,Ing. En Sistemas,Graduado,Universitario,1
2020-06-11,Universidad Esan,Adm. De Empresas,En Curso,Master,4
2020-06-11,Universidad Privada Los Angeles - Chimbote,Tecnologias De La Informacion,Graduado,Master,2
2020-06-10,Universidad Peruana De Ciencias Aplicadas,Ing. Informatica,Abandonado,Universitario,2
2020-06-10,Udemy,Tecnologias De La Informacion,Graduado,Otro,9
2020-06-10,Universidad Nacional Mayor De San Marcos,Computacion / Informatica,Graduado,Universitario,1
2020-06-10,Universidad Nacional De Trujillo,Ing. En Sistemas,Graduado,Universitario,1
2020-06-10,Qlc,Tecnologias De La Informacion,Graduado,Posgrado,17
2020-06-10,Ctic - Uni,Tecnologias De La Informacion,Graduado,Otro,4
2020-09-30,Universidad Inca Garcilaso De La Vega,Ing. En Sistemas,Graduado,Universitario,6
2020-06-09,Netec,Ing. Telecomunicaciones,Graduado,Terciario/Tecnico,8
2020-06-09,Universidad Nacional De Cajamarca,Adm. De Empresas,Graduado,Master,2
2020-06-09,Grupo Carso,Analisis De Sistemas,Graduado,Otro,10
2020-06-09,Universidad Ricardo Palma,Ing. Informatica,En Curso,Posgrado,3
2020-04-27,New Horizont,Tecnologias De La Informacion,Graduado,Otro,5
2020-04-26,Universidad Peruana De Ciencias Aplicadas,Tecnologias De La Informacion,Graduado,Posgrado,2
2020-04-22,Universidad Nacional Agraria La Molina,Procesos / Calidad Total,Graduado,Posgrado,3
2020-04-20,Universidad Tecnologica Del Peru,Ing. En Sistemas,Graduado,Universitario,2
2020-04-16,Universidad Politecnica De Valencia,Ing. Industrial,Graduado,Master,6
2020-04-10,Universidad Tecnologica Del Peru,Ing. Telecomunicaciones,Graduado,Universitario,2
2020-09-29,Udemy,Tecnologias De La Informacion,Graduado,Otro,9
2020-03-29,Universidad Nacional Mayor De San Marcos,Ing. En Sistemas,Graduado,Universitario,1
2020-03-23,Grupo Carso,Analisis De Sistemas,Graduado,Otro,10
2020-03-20,Universidad Nacional De Ingenieria,Computacion / Informatica,Graduado,Otro,5
2020-03-20,Cibertec,Tecnologias De La Informacion,En Curso,Terciario/Tecnico,1
2020-03-18,Universidad Nacional Federico Villarreal,Ing. En Sistemas,Graduado,Universitario,1
2020-09-29,Universidad Ricardo Palma,Organizacion Industrial,Graduado,Master,6
2020-09-28,Scrumstudy,Procesos / Calidad Total,Graduado,Otro,7
2020-09-12,Universidad Nacional De Ingenieria,Ing. En Sistemas,En Curso,Universitario,2
2020-11-05,Jhons Hopkins University | Coursera,Tecnologias De La Informacion,Graduado,Posgrado,6
2020-03-09,Universidad Nacional Mayor De San Marcos,Estadistica,Graduado,Otro,2
2020-03-04,Universidad Nacional Mayor De San Marcos,Estadistica,Graduado,Universitario,1
2020-03-04,Universidad Nacional Mayor De San Marcos,Estadistica,Graduado,Universitario,1
2020-03-04,Cibertec,Ing. Informatica,Graduado,Otro,4
2020-03-02,Cibertec,Ing. En Sistemas,Graduado,Otro,4
2020-03-02,Universidad Nacional De Trujillo,Computacion / Informatica,Graduado,Universitario,1
2020-03-01,Universidad Ricardo Palma,Ing. Informatica,En Curso,Posgrado,3
2020-02-28,Universidad Tecnologica Del Peru,Ing. En Sistemas,En Curso,Universitario,2
2020-02-27,Pontificia Universidad Catolica Del Peru,Adm. De Empresas,En Curso,Master,2
2020-03-08,Universidad Nacional Mayor De San Marcos,Matematicas,Graduado,Universitario,1
2020-03-07,Universidad Peruana De Ciencias Aplicadas,Telecomunicaciones,Graduado,Universitario,6
2020-03-06,Universidad Ricardo Palma,Estadistica,Graduado,Otro,5
2020-03-06,"Cipsa, Centro De Estudios Informatica, Barcelona",Ing. Informatica,Graduado,Master,3
2020-03-06,Pontificia Universidad Catolica Del Peru,Estadistica,En Curso,Posgrado,2
2020-03-06,Universidad Catolica San Pablo,Telecomunicaciones,Graduado,Posgrado,1
2020-03-05,Deeplearning.Ai,Tecnologias De La Informacion,En Curso,Posgrado,6
2020-03-05,Universidad De San Martin De Porres,Ing. En Sistemas,Abandonado,Universitario,1
2020-03-10,Universidad De Lima,Ing. En Sistemas,Graduado,Universitario,1
2020-02-16,Platzi,Tecnologias De La Informacion,En Curso,Otro,4
2020-01-30,Instituto Superior Sise,Ing. En Sistemas,Graduado,Universitario,1
2020-01-29,New Horizons,Ing. En Sistemas,Graduado,Otro,5
2020-01-29,Ucv-Lima Norte,Ing. En Sistemas,Graduado,Universitario,2
2020-01-28,Autodidacta,Computacion / Informatica,Graduado,Otro,3
2020-01-28,Platzi,Computacion / Informatica,Graduado,Otro,4
2020-01-28,Universidad Nacional Federico Villarreal,Ing. En Sistemas,Graduado,Universitario,1
2020-02-14,New Horizons,Tecnologias De La Informacion,Graduado,Universitario,20
2020-02-12,Certero,Tecnologias De La Informacion,Graduado,Universitario,4
2020-02-05,Universidad Peruana De Ciencias Aplicadas,Ing. En Sistemas,En Curso,Universitario,3
2020-02-05,Universidad Catolica Santa Maria,Ing. En Sistemas,Graduado,Universitario,1
2020-02-04,Universidad Nacional San Luis Gonzaga - Ica,Ing. En Sistemas,Graduado,Universitario,3
2020-02-03,Universidad Peruana De Ciencias Aplicadas,Telecomunicaciones,Graduado,Universitario,6
2020-02-01,Universidad Nacional De Piura,Ing. Informatica,Graduado,Universitario,1
2020-02-01,Universidad De Lima,Ing. En Sistemas,Graduado,Universitario,1
2020-02-21,Pmi,Tecnologias De La Informacion,Graduado,Posgrado,9
2020-11-10,Universidad De Lima,Ing. En Sistemas,Graduado,Universitario,1
2020-10-29,Universidad Tecnologica Del Peru,Ing. En Sistemas,Graduado,Universitario,2
2020-10-23,Tecsup,Ing. - Otros,Graduado,Universitario,2
2020-11-12,Esan,Tecnologias De La Informacion,Graduado,Master,3
2020-02-26,Centro Gold Sap Partner,Finanzas,Graduado,Posgrado,5
2020-02-04,Universidad Peruana De Ciencias Aplicadas,Tecnologias De La Informacion,Graduado,Master,3
2020-02-03,Scrumstudy,Ing. - Otros,Graduado,Posgrado,8
2020-02-03,Universidad Peruana De Ciencias Aplicadas,Telecomunicaciones,Graduado,Universitario,6
2020-01-31,Universidad Esan,Tecnologias De La Informacion,En Curso,Master,21
2020-01-30,Universidad Nacional Mayor De San Marcos,Telecomunicaciones,Graduado,Master,4
2020-01-30,Universidad Inca Garcilaso De La Vega,Ing. Industrial,Graduado,Universitario,2
2020-01-30,Colegio De Ingenieros De Lima,Ing. En Sistemas,Graduado,Posgrado,3
2020-01-30,Universidad Del Pacifico,Procesos / Calidad Total,Graduado,Posgrado,4
2020-01-29,Nextech,Tecnologias De La Informacion,En Curso,Posgrado,4
2020-01-29,Universidad Internacional De Valencia,Adm. De Empresas,Graduado,Master,4
2020-02-23,Dmc - Data Mining Consulting,Ing. En Sistemas,Graduado,Posgrado,5
2020-01-29,Fundacion San Marcos,Procesos / Calidad Total,Graduado,Otro,14
2020-01-28,Pontificia Universidad Catolica Del Peru,Adm. De Empresas,Graduado,Posgrado,3
2020-01-28,Scrumstudy,Ing. En Sistemas,Graduado,Otro,4
2020-01-28,Cibertec,Ing. En Sistemas,Graduado,Terciario/Tecnico,12
2020-01-28,Pontificia Universidad Catolica Del Peru,Ing. En Sistemas,En Curso,Otro,18
2020-01-28,Platzi,Computacion / Informatica,Graduado,Otro,4
2020-01-28,Universidad Alas Peruanas,Ing. En Sistemas,Graduado,Universitario,2
2020-01-28,Universidad Privada Del Norte,Ing. En Sistemas,Graduado,Posgrado,3
2020-02-21,Instituto Para El Desarrollo Empresarial Y Administrativo - Idea,Tecnologias De La Informacion,Graduado,Otro,11
2020-02-21,Universidad De San Martin De Porres,Adm. De Empresas,Graduado,Master,2
2020-02-19,Universidad Peruana De Ciencias Aplicadas,Tecnologias De La Informacion,En Curso,Master,9
2020-02-18,Google Activate,Ing. En Sistemas,Graduado,Otro,18
2020-02-13,Universidad Europea Del Atlantico,Adm. Y Gestion Publica,En Curso,Master,4
2020-02-04,Scrumstudy,Ing. En Sistemas,Graduado,Otro,8
2020-02-04,Universidad La Salle De Barcelona,Tecnologias De La Informacion,En Curso,Master,28
2020-02-26,Universidad Nacional Mayor De San Marcos,Ing. En Sistemas,Graduado,Posgrado,3
2020-09-02,Universidad De Huanuco,Ing. En Sistemas,Graduado,Universitario,1
2020-08-11,Instituto Cultural Peruano Norteamericano,Interprete,Graduado,Terciario/Tecnico,7
2020-08-11,Idat,Computacion / Informatica,Graduado,Terciario/Tecnico,1
2020-08-11,Universidad Tecnologica Del Peru,Ing. En Sistemas,En Curso,Universitario,2
2020-09-01,Universidad Nacional San Luis Gonzaga - Ica,Ing. En Sistemas,Graduado,Universitario,3
2020-09-01,Universidad Tecnologica Del Peru,Ing. En Sistemas,Graduado,Universitario,1
2020-08-28,Universidad Nacional Mayor De San Marcos,Ing. En Sistemas,En Curso,Universitario,1
2020-08-20,Ici-Uni,Tecnologias De La Informacion,Graduado,Otro,1
2020-08-18,Universidad Nacional Del Callao,Ing. En Sistemas,Graduado,Universitario,1
2020-08-16,Universidad Nacional Mayor De San Marcos,Tecnologias De La Informacion,Graduado,Posgrado,2
2020-08-16,Universidad Peruana De Ciencias E Informatica,Ing. En Sistemas,Graduado,Universitario,2
2020-08-13,Universidad Esan,Tecnologias De La Informacion,En Curso,Master,11
2020-09-07,Universidad Mayor De San Marcos,Ing. En Sistemas,Graduado,Universitario,1
2020-07-13,Universidad San Ignacio De Loyola,Tecnologias De La Informacion,Graduado,Posgrado,3
2020-06-09,Universidad Nacional Federico Villarreal,Ing. En Sistemas,Graduado,Universitario,1
2020-06-06,Universidad Esan,Ing. En Sistemas,En Curso,Universitario,5
2020-06-06,Universidad Tecnologica Del Peru,Ing. En Sistemas,Graduado,Universitario,1
2020-06-05,Universidad Cesar Vallejo,Ing. En Sistemas,Graduado,Posgrado,1
2020-06-05,Pontificia Universidad Catolica Del Peru,Ing. En Sistemas,Graduado,Universitario,1
2020-06-05,Universidad De Margarita,Ing. En Sistemas,Graduado,Universitario,2
2020-06-05,Certero Peru,Tecnologias De La Informacion,Graduado,Otro,6
2020-06-05,Universidad Alas Peruanas,Adm. De Empresas,En Curso,Posgrado,2
2020-06-04,Universidad Nacional Federico Villarreal,Ing. En Sistemas,En Curso,Universitario,1
2020-06-04,Universidad San Ignacio Del Loyola,Ing. En Sistemas,Graduado,Universitario,1
2020-07-09,Ipappg,Tecnologias De La Informacion,En Curso,Otro,11
2020-06-04,Microsoft Partner University,Ing. En Sistemas,Graduado,Otro,9
2020-06-04,Instituto Cibertec,Analisis De Sistemas,Graduado,Terciario/Tecnico,2
2020-06-04,Instituto Superior Sise,Tecnologias De La Informacion,Graduado,Secundario,1
2020-06-04,Universidad De Lima,Ing. En Sistemas,En Curso,Universitario,1
2020-06-03,Pontificia Universidad Catolica Del Peru,Tecnologias De La Informacion,Graduado,Otro,4
2020-06-03,Universidad Privada Del Norte,Ing. En Sistemas,En Curso,Universitario,2
2020-06-03,Universidad Alas Peruanas,Bachiller,Graduado,Universitario,1
2020-06-03,Abaco,Computacion / Informatica,Graduado,Terciario/Tecnico,1
2020-06-02,Universidad Peruana De Las Americas,Ing. En Sistemas,Graduado,Universitario,2
2020-06-02,Universidad Peruana De Ciencias Aplicadas,Ing. En Sistemas,En Curso,Universitario,3
2020-07-01,Universidad Peruana De Ciencias Aplicadas,Tecnologias De La Informacion,Graduado,Universitario,2
2020-06-02,Upc,Ing. En Sistemas,En Curso,Universitario,2
2020-06-02,Universidad Esan,Tecnologias De La Informacion,En Curso,Otro,7
2020-06-02,Ucv-Lima Norte,Ing. En Sistemas,Graduado,Universitario,2
2020-06-02,Universidad Privada Del Norte,Ing. En Sistemas,Graduado,Universitario,1
2020-06-02,Upc,Ing. En Sistemas,Abandonado,Universitario,2
2020-06-02,Universidad Autonoma Del Peru,Otra,En Curso,Master,10
2020-06-02,Universidad Tecnologica Del Peru,Ing. Informatica,Abandonado,Universitario,2
2020-06-02,Fundacion Carlos Slim,Tecnologias De La Informacion,Graduado,Otro,3
2020-06-02,Universidad Nacional De Trujillo,Ing. En Sistemas,Graduado,Universitario,1
2020-06-02,Universidad Nacional Del Callao,Ing. En Sistemas,Graduado,Universitario,1
2020-06-24,Ac Enginering/Electronets C.A,Ing. Telecomunicaciones,Graduado,Otro,3
2020-06-02,Universidad De Lima,Ing. En Sistemas,Graduado,Universitario,1
2020-06-02,Grupo Carso,Analisis De Sistemas,Graduado,Otro,10
2020-06-02,Ebd,Telecomunicaciones,Graduado,Otro,5
2020-05-23,Universidad Cesar Vallejo - Trujilllo,Ing. Industrial,En Curso,Universitario,3
2020-05-18,Universidad Nacional Federico Villarreal,Ing. En Sistemas,Graduado,Universitario,1
2020-05-02,Universidad Peruana De Ciencias Aplicadas,Telecomunicaciones,Graduado,Universitario,6
2020-04-27,Gmd,Tecnologias De La Informacion,Graduado,Otro,4
2020-04-27,Universidad Nacional Mayor De San Marcos,Ing. En Sistemas,En Curso,Posgrado,2
2020-04-25,Instituto Cibertec,Telecomunicaciones,En Curso,Terciario/Tecnico,1
2020-04-16,Universidad Tecnologica Del Peru,Ing. En Sistemas,Graduado,Universitario,2
2020-06-21,Universidad Peruana De Ciencias Aplicadas,Ing. En Sistemas,En Curso,Universitario,2
2020-04-14,Utp,Ing. En Sistemas,En Curso,Universitario,2
2020-04-12,Cibertec,Otra,Graduado,Otro,4
2020-04-10,Instituto San Ignacio De Loyola - Isil,Programacion,Graduado,Otro,7
2020-04-08,Universidad Cesar Vallejo - Trujilllo,Ing. Industrial,En Curso,Universitario,2
2020-04-07,Platzi,Tecnologias De La Informacion,En Curso,Otro,4
2020-04-06,Pontificia Universidad Catolica Del Peru,Adm. De Empresas,Graduado,Posgrado,3
2020-04-05,Instituto Cultural Peruano Norteamericano,Interprete,En Curso,Otro,4
2020-04-05,Universidad Las Peruana Americas,Ing. Informatica,Graduado,Universitario,1
2020-04-04,Universidad La Salle De Barcelona,Tecnologias De La Informacion,En Curso,Master,28
2020-04-04,Certero,Tecnologias De La Informacion,Graduado,Universitario,4
2020-06-18,Cibertec,Tecnologias De La Informacion,Graduado,Posgrado,4
2020-04-03,Ucv-Lima Norte,Ing. En Sistemas,Graduado,Universitario,2
2020-04-03,Universidad San Juan Bautista,Ing. En Sistemas,Graduado,Universitario,1
2020-04-03,Otros,Otra,Graduado,Otro,4
2020-04-02,Universidad Privada Del Norte,Ing. En Sistemas,En Curso,Universitario,2
2020-04-02,Grupo San Ignacio De Loyola,Ing. En Sistemas,Graduado,Otro,4
2020-04-01,Universidad Tecnologica Del Peru,Ing. En Sistemas,Graduado,Posgrado,1
2020-03-31,Ipae -Instituto Peruano De Accion Empresarial,Marketing / Comercializacion,En Curso,Universitario,3
2020-03-13,Certero,Tecnologias De La Informacion,Graduado,Universitario,4
2020-03-10,Microsoft Partner University,Ing. En Sistemas,Graduado,Otro,9
2020-03-08,Platzi,Tecnologias De La Informacion,En Curso,Otro,4
2020-06-16,Universidad Nacional Tecnologica De Lima Sur,Ing. En Sistemas,Graduado,Universitario,1
2020-03-07,Ucv-Lima Norte,Ing. En Sistemas,Graduado,Universitario,2
2020-03-07,Universidad Peruana De Ciencias Aplicadas,Telecomunicaciones,Graduado,Universitario,6
2020-03-07,Universidad Peruana De Ciencias Aplicadas,Telecomunicaciones,Graduado,Universitario,6
2020-03-06,Upc,Ing. En Sistemas,Abandonado,Universitario,2
2020-03-02,Universidad De San Martin De Porres,Ing. En Sistemas,En Curso,Universitario,1
2020-03-02,Instituto Nacional De Investigacion Y Capacitacion De Telecomunicaciones - Inictel,Ing. Telecomunicaciones,Graduado,Otro,2
2020-03-01,Ucv-Lima Norte,Ing. En Sistemas,Graduado,Universitario,2
2020-02-27,Universidad Tecnologica Del Peru,Ing. En Sistemas,Graduado,Posgrado,1
2020-06-13,Cecitel - Especialistas En Capacitacion Telefonica,Fisioterapia,Graduado,Otro,5
2020-02-27,Esic,Adm. De Empresas,Graduado,Master,3
2020-02-26,Platzi,Tecnologias De La Informacion,En Curso,Otro,4
2020-02-25,Universidad De Ciencias Y Humanidades,Ing. En Sistemas,Graduado,Universitario,1
2020-02-25,Instituto Superior Tecnologico Cimas,Computacion / Informatica,Graduado,Master,1
2020-02-25,Udemy,Ing. En Sistemas,Graduado,Otro,4
2020-02-25,Nextech,Tecnologias De La Informacion,En Curso,Posgrado,4
2020-02-25,Universidad Privada Del Norte,Ing. En Sistemas,En Curso,Universitario,2
2020-06-09,Certero,Tecnologias De La Informacion,Graduado,Universitario,4
2020-07-30,Usil,Computacion / Informatica,Graduado,Universitario,1
2021-06-21,Universidad Nacional Federico Villarreal,Ing. En Sistemas,Graduado,Posgrado,1
2021-06-18,Universidad Peruana De Ciencias Aplicadas,Ing. En Sistemas,En Curso,Universitario,1
2021-06-15,Universidad Peruana De Ciencias Aplicadas,Tecnologias De La Informacion,En Curso,Universitario,2
2021-06-14,Universidad Alas Peruanas,Ing. En Sistemas,Graduado,Universitario,1
2021-06-02,Senati - Chiclayo,Ing. - Otros,Graduado,Universitario,1
2021-06-29,J &Amp; J Data Mining Consulting,Tecnologias De La Informacion,Graduado,Otro,7
2020-04-16,Universidad Tecnologica Del Peru,Ing. En Sistemas,Graduado,Universitario,2
2020-03-17,Universidad Nacional Mayor De San Marcos,Ing. En Sistemas,Graduado,Universitario,1
2020-03-16,Pontificia Universidad Catolica Del Peru,Adm. De Empresas,Graduado,Posgrado,3
2020-03-16,Centro Cultural De La Pontificia Universidad Catolica,Ing. En Sistemas,Graduado,Posgrado,15
2020-03-15,Google Activate,Ing. En Sistemas,Graduado,Otro,18
2020-03-13,Universidad Autonoma Del Peru,Ing. En Sistemas,En Curso,Universitario,3
2020-03-11,Cibertec,Analisis De Sistemas,Graduado,Terciario/Tecnico,1
2020-03-11,Universidad Peruana De Ciencias Aplicadas,Ing. Industrial,En Curso,Universitario,2
2020-03-11,Platzi,Tecnologias De La Informacion,En Curso,Otro,4
2020-03-11,Cibertec,Ing. En Sistemas,Graduado,Terciario/Tecnico,12
2020-03-10,Universidad Nacional Jose F Sanchez Carrion,Ing. En Sistemas,Graduado,Universitario,1
2020-04-16,Universidad San Ignacio Del Loyola,Ing. En Sistemas,Graduado,Universitario,3
2020-03-10,Universidad Europea Del Atlantico,Adm. Y Gestion Publica,En Curso,Master,4
2020-03-10,Unefa,Otra,En Curso,Doctorado,3
2020-03-10,Universidad Peruana De Ciencias Aplicadas,Ing. En Sistemas,Graduado,Universitario,2
2020-03-10,Utp,Educacion,Graduado,Master,2
2020-03-10,Fundacion San Marcos,Procesos / Calidad Total,Graduado,Otro,14
2020-03-10,Pad,Adm. De Empresas,Graduado,Posgrado,4
2020-03-09,Universidad Nacional Del Callao,Ing. En Sistemas,Graduado,Universitario,1
2020-03-09,Scrumstudy,Ing. En Sistemas,Graduado,Otro,8
2020-03-09,Cibertec,Tecnologias De La Informacion,Graduado,Otro,3
2020-03-09,New Horizons,Tecnologias De La Informacion,Graduado,Otro,3
2020-04-02,Universidad Esan,Tecnico,Graduado,Posgrado,4
2020-03-09,Global Lynx,Ing. En Sistemas,Graduado,Otro,6
2020-03-09,Universidad Alas Peruanas,Tecnologias De La Informacion,Graduado,Universitario,1
2020-03-09,Iup Santiago Marino.,Ing. Electronica,Graduado,Universitario,2
2020-03-09,Qualita Education,Adm. De Empresas,Graduado,Master,10
2020-03-09,New Horizons,Otra,Graduado,Posgrado,10
2020-03-09,New Horizons,Tecnologias De La Informacion,Graduado,Otro,11
2020-03-09,New Horizons,Tecnologias De La Informacion,En Curso,Otro,3
2020-03-09,Utp,Adm. De Empresas,En Curso,Master,4
2020-03-09,Universidad Del Pacifico,Ing. En Sistemas,Graduado,Posgrado,7
2020-03-09,Utp,Otra,Graduado,Otro,6
2020-04-01,Certiprof,Tecnologias De La Informacion,Graduado,Otro,13
2020-03-09,Scum Study,Tecnologias De La Informacion,Graduado,Otro,12
