postulationDate,studyCenter,careerField,careerStatus,careerDegree,studiesNumber
2022-09-19,I.U. Politecnico Santiago Marino,Ing. Obras Civiles/Construccion,Graduado,Universitario,1
2022-09-19,Universidad Tecnologica Del Peru,Adm. De Empresas,Graduado,Master,4
2022-09-19,Utp,Adm. De Empresas,En Curso,Posgrado,1
2022-09-19,Equilibrium Financiero,Adm. De Empresas,Graduado,Posgrado,8
2022-09-19,Universidad Cesar Vallejo,Ing. Industrial,Graduado,Universitario,1
2022-09-19,Eada - Business School Barcelona,Adm. De Empresas,Graduado,Master,3
2022-09-19,Politecnico Colombiano Jaime Isaza Cadavid,Seguridad Industrial,Graduado,Universitario,1
2023-03-22,Universidad Nacional San Luis Gonzaga - Ica,Ing. En Sistemas,Graduado,Universitario,1
2022-09-19,Escuela De Post Grado - Universidad San Ignacio De Loyola,Fisioterapia,Graduado,Universitario,2
2022-05-30,Jb Enterprise Group,Ing. En Sistemas,Graduado,Otro,2
2022-05-27,Instituto Europeo De Posgrado,Abogacia / Derecho / Leyes,Graduado,Otro,5
2022-05-19,Euroidiomas,Traduccion,Graduado,Otro,6
2022-05-18,Esan,Adm. Y Gestion Publica,Graduado,Otro,4
2022-05-16,Istqb,Tecnologias De La Informacion,Graduado,Otro,6
2022-05-06,Universidad Catolica Sedes Sapientiae,Ing. Industrial,Graduado,Universitario,1
2022-05-06,Universidad De San Martin De Porres,Ing. En Sistemas,Graduado,Otro,1
2022-05-03,Universidad Cesar Vallejo Lima - Norte,Ing. Informatica,Graduado,Universitario,1
2022-04-29,Instituto Educacion Superior Tecnologico Oyon,Ing. Mecanica/Metalurgica,En Curso,Terciario/Tecnico,3
2023-03-22,Tecsup,Mecanica / Metalurgica,Graduado,Terciario/Tecnico,6
2022-04-27,Universidad De Lima,Ing. Industrial,Graduado,Universitario,1
2022-04-23,Universidad De Lima,Ing. Industrial,Graduado,Universitario,1
2022-04-21,Universidad Peruana De Las Americas,Ing. En Sistemas,En Curso,Universitario,1
2022-04-20,Pontificia Universidad Catolica Del Peru,Adm. De Empresas,Graduado,Posgrado,3
2022-04-19,Coderhouse,Tecnologias De La Informacion,En Curso,Otro,7
2022-04-19,Cibertec,Otra,En Curso,Otro,2
2022-04-19,Pontificia Universidad Catolica Del Peru,Adm. De Empresas,En Curso,Posgrado,4
2022-04-19,Idat,Otra,Graduado,Otro,4
2022-04-19,Universidad Peruana De Ciencias Aplicadas,Ing. En Sistemas,En Curso,Universitario,2
2022-04-19,Universidad De La Rioja,Ing. Industrial,Graduado,Master,2
2023-03-22,Google,Tecnologias De La Informacion,En Curso,Posgrado,11
2022-04-19,Universidad Alas Peruanas,Ing. En Sistemas,Graduado,Universitario,1
2022-04-18,Upc,Abogacia / Derecho / Leyes,Graduado,Universitario,3
2022-04-18,Universidad Ricardo Palma,Adm. De Empresas,Graduado,Posgrado,2
2022-04-18,Pontificia Universidad Catolica Del Peru,Ing. Industrial,Graduado,Otro,3
2022-03-22,Univeridad Privada Del Norte,Ing. En Sistemas,Graduado,Universitario,1
2023-03-21,Isil,Ing. En Sistemas,Graduado,Terciario/Tecnico,2
2023-03-21,Universidad Nacional San Luis Gonzaga - Ica,Ing. En Sistemas,Graduado,Universitario,2
2023-03-21,Universidad Peruana De Ciencias Aplicadas,Ing. Industrial,Graduado,Universitario,1
2023-03-21,Universidad Nacional San Luis Gonzaga - Ica,Ing. En Sistemas,En Curso,Universitario,1
2023-03-20,Rocketbot,Tecnologias De La Informacion,Graduado,Otro,10
2023-03-20,Uni,Ing. En Sistemas,En Curso,Otro,12
2023-04-01,Universidad Alas Peruanas,Ing. Informatica,Graduado,Universitario,2
2023-03-17,International Software Testing Qualifications Board,Ing. En Sistemas,En Curso,Otro,6
2023-03-17,Jb Enterprise Group,Analisis De Sistemas,Graduado,Otro,5
2023-03-17,Universidad Privada Del Norte,Ing. En Sistemas,Graduado,Posgrado,1
2023-03-17,Universidad Esan,Adm. De Empresas,Graduado,Posgrado,3
2023-03-16,Jb Enterprise Group,Tecnologias De La Informacion,Graduado,Otro,4
2023-03-16,Istqb,Tecnologias De La Informacion,Graduado,Otro,6
2023-03-16,Universidade Federal Da Bahia - Ufba,Adm. De Empresas,Graduado,Master,1
2023-03-16,Premium Cultural Institute,Interprete,En Curso,Otro,3
2023-03-15,Maria De Los Angeles,Ing. En Sistemas,Graduado,Terciario/Tecnico,1
2023-03-15,Universidad Nacional Del Centro Del Peru,Ing. En Sistemas,Graduado,Universitario,1
2023-03-31,Universidad Cesar Vallejo,Ing. En Sistemas,Graduado,Universitario,1
2022-12-13,Upc,Ing. En Sistemas,En Curso,Universitario,2
2022-12-12,Universidad De Lima,Ing. Industrial,Graduado,Universitario,2
2022-12-12,Enterprice Group,Tecnologias De La Informacion,Graduado,Otro,7
2022-12-12,Britanico,Otra,En Curso,Otro,2
2022-12-11,Universidad Ricardo Palma,Ing. Informatica,Graduado,Otro,1
2022-12-06,Google,Tecnologias De La Informacion,En Curso,Posgrado,11
